Unnamed: 0,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
31,32,2018-11-01,#319191,Youngsan Glonet,Youngsan Handel,"Youngsan Handel is an automotive and chemical company. It also engages in various manufacturing, trading and logistics business areas. The company was established in 1999 and is based in Vienna, Austria.",www.youngsan.com,311.07,,,1999.0,,+4315226243,Western Europe,austria,Eastern Austria,Vienna,Vienna,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Automotive OEM,Heavy duty trucks,Transport Equipment,Manufacturing,500,No,86.0,Yes,New,Announced,,Tanzania and neighbouring countries,,https://www.tanzaniainvest.com/industry/assembly-plant-vehicles,False,False,False,True,False,False,automotive_oem_heavy_duty_trucks_manufacturing,False,False,2018
32,33,2018-11-01,#319203,Beiqi Foton Motor,Beiqi Foton Motor,"Beiqi Foton Motor manufactures and sells commercial vehicles worldwide. It offers passenger vehicles, such as pickups, vans, and SUVs; generic and special light-duty trucks; and special purpose vehicles, including pneumatic/dry bulk cement tanker trucks, tanker trucks, refrigerated/insulated trucks, and rear loader garbage trucks, as well as buses. The company also provides tractors, dumpers, and flatbeds. The company was founded in 1996 and is headquartered in Beijing, China. The company operates as a subsidiary of the BAIC Group.",www.foton-global.com,7804.46,30823.0,,1996.0,,+861080716459,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Africa,tanzania,Not Specified,Not Specified,Not Specified,,,Automotive OEM,Heavy duty trucks,Transport Equipment,Manufacturing,851,Yes,89.0,Yes,New,Announced,,East Africa,,https://allafrica.com/stories/201811230562.html,False,False,False,False,True,False,automotive_oem_heavy_duty_trucks_manufacturing,False,False,2018
43,44,2018-11-01,#318420,Albwardy Investment,Albwardy Investment,"Albwardy Investment is a holding company founded in 1976 to aggregate various business concerns held by founder Ali Saeed Juma Albwardy. The company operates in food retailing and distribution, construction, engineering, hospitality and hotel proprietary, holding sole ownership, joint venture or stakes in equity. Headquartered in Dubai, UAE, its portfolio consists of 30 companies across the Middle East, Africa, Europe, Asia and south America.",www.albwardy.com,,,,1976.0,info@albwardy.com,+97143511333,Middle East,uae,Dubai,Not Specified,Dubai,Africa,tanzania,Arusha,Not Specified,Arusha,,,Hotels & tourism,Accommodation,Tourism,Construction,202,Yes,100.2,Yes,New,Announced,,,,https://www.lavanguardia.com/vida/20181106/452777376572/melia-abrira-dos-nuevos-hoteles-en-londres-y-tanzania.html,False,False,False,False,True,False,hotels_and_tourism_accommodation_construction,False,False,2018
73,74,2018-09-01,#318416,African Barrick Gold,Barrick Gold,"Barrick Gold engages in the production and sale of gold, as well as related activities, such as exploration and mine development. The company has a portfolio of 25 operating mines and a pipeline of projects located in North America, South America, the Australia Pacific region, and Africa. It also produces copper and holds interests in oil and gas properties located in Canada. The company was founded in 1983 and is based in Toronto, Canada.",www.barrick.com,11985.0,18421.0,,1983.0,,,North America,canada,Ontario,Not Specified,Toronto,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,United Kingdom,Metals,Gold ore & silver ore mining,Physical Sciences,Shared Services Centre,352,Yes,13.1,Yes,New,Announced,,,,https://allafrica.com/stories/201809190657.html,False,False,False,True,False,False,metals_gold_ore_and_silver_ore_mining_shared_services_centre,False,False,2018
93,94,2018-09-01,#313018,NIC Bank Tanzania,NIC Bank,"NIC Bank provides banking, financial, and related services in Kenya. Its deposit products include demand, call, time, fixed, current, term, and savings accounts. The company's loan portfolio comprises personal loans, commercial loans, real estate loans, agricultural loans, term loans, and overdraft. It also provides various services, including electronic banking facilities; trade finance for imports and exports; cash management products; bulk cash handling; insurance premium financing; private banking services for high net-worth customers; and automated teller machines. NIC Bank was founded in 1959 and is headquartered in Nairobi, Kenya.",www.nic-bank.com,76.6,,,1959.0,,+255222295000,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,tanzania,Dodoma,Not Specified,Dodoma,,,Financial services,Corporate & investment banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Announced,,,,https://allafrica.com/stories/201809030799.html,False,False,False,False,True,True,financial_services_corporate_and_investment_banking_business_services,False,False,2018
94,95,2018-09-01,#313017,NIC Bank Tanzania,NIC Bank,"NIC Bank provides banking, financial, and related services in Kenya. Its deposit products include demand, call, time, fixed, current, term, and savings accounts. The company's loan portfolio comprises personal loans, commercial loans, real estate loans, agricultural loans, term loans, and overdraft. It also provides various services, including electronic banking facilities; trade finance for imports and exports; cash management products; bulk cash handling; insurance premium financing; private banking services for high net-worth customers; and automated teller machines. NIC Bank was founded in 1959 and is headquartered in Nairobi, Kenya.",www.nic-bank.com,76.6,,,1959.0,,+255222295000,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,tanzania,Mjini Magharibi,Not Specified,Zanzibar,,,Financial services,Corporate & investment banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Announced,,,,https://allafrica.com/stories/201809030799.html,False,False,False,False,True,True,financial_services_corporate_and_investment_banking_business_services,False,False,2018
134,135,2018-07-01,#310575,KT Corporation,KT Corporation,"KT Corporation provides telecommunications services in South Korea. The company offers mobile voice and data telecommunication services; fixed-line telephone services, including local, domestic long-distance and international long-distance fixed-line and voice over Internet protocol telephone services, and interconnection services to other telecommunications companies; and Internet phone services.  KT Corporation was founded in 1981 and is headquartered in Seongnam, South Korea.",www.kt.co.kr,22049.56,23575.0,,1981.0,webmaster@kt.com,+8227306291,Asia-Pacific,south_korea,Gyeonggi,Not Specified,Seongnam,Africa,tanzania,Pwani,Not Specified,Kibaha,,,Communications,"Data processing, hosting, & related services",ICT & Electronics,ICT & Internet Infrastructure,69,Yes,104.5,Yes,New,Opened,,,"Samsung C&amp;T Corporation, KT Corporation",http://koreajoongangdaily.joins.com/news/article/article.aspx?aid=3050964,False,False,False,False,True,False,communications_data_processing_hosting_and_related_services_ict_and_internet_infrastructure,False,False,2018
157,158,2018-07-01,#311187,Fracht,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,265.04,0.0,,1955.0,fracht@frachtag-bs.ch,+41612879555,Western Europe,switzerland,Switzerland,Basel-Stadt,Basel,Africa,tanzania,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,,,,http://www.frachtag.ch/en/news/news.php?NEWSID=331,True,False,False,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2018
173,174,2018-06-01,#307618,International Workplace Group (Regus),International Workplace Group (Regus),"International Workplace Group (IWG), together with its subsidiaries, provides office outsourcing services. IWG offers its services to property owners and investors, franchisees, brokers, and customers under the Regus, Regus Express, Spaces, Signature, and Open Office brands. Effective October 14, 2008, Regus Group plc became Regus plc. Regus plc was created as a holding company for Regus Group plc, to establish the company's headquarters in Luxembourg, relocating from the UK. The company was formerly known as Regus before rebranding to IWG in December 2016. In December 2016, the company relocated its head office from Luxembourg to Switzerland. IWG was established in 1989 and is based in Zug, Switzerland.",www.iwgplc.com,2916.29,8240.0,,1989.0,communications@iwgplc.com,+447584376533,Western Europe,switzerland,Switzerland,Zug,Zug,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Real estate,Rental & leasing services,Professional Services,Business Services,8,Yes,1.9,Yes,New,Opened,,,,http://www.thecitizen.co.tz/News/Business/Global-workspace-provider-to-open-centre-in-Dar/1840414-4594810-14cafei/index.html,True,False,False,True,False,False,real_estate_rental_and_leasing_services_business_services,False,False,2018
176,177,2018-06-01,#307620,International Workplace Group (Regus),International Workplace Group (Regus),"International Workplace Group (IWG), together with its subsidiaries, provides office outsourcing services. IWG offers its services to property owners and investors, franchisees, brokers, and customers under the Regus, Regus Express, Spaces, Signature, and Open Office brands. Effective October 14, 2008, Regus Group plc became Regus plc. Regus plc was created as a holding company for Regus Group plc, to establish the company's headquarters in Luxembourg, relocating from the UK. The company was formerly known as Regus before rebranding to IWG in December 2016. In December 2016, the company relocated its head office from Luxembourg to Switzerland. IWG was established in 1989 and is based in Zug, Switzerland.",www.iwgplc.com,2916.29,8240.0,,1989.0,communications@iwgplc.com,+447584376533,Western Europe,switzerland,Switzerland,Zug,Zug,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Real estate,Rental & leasing services,Professional Services,Business Services,8,Yes,1.9,Yes,New,Announced,,,,http://www.thecitizen.co.tz/News/Business/Global-workspace-provider-to-open-centre-in-Dar/1840414-4594810-14cafei/index.html,True,False,False,True,False,False,real_estate_rental_and_leasing_services_business_services,False,False,2018
