Unnamed: 0,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
385,386,2017-12-01,#292801,Sika,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+41584366800,Western Europe,switzerland,Switzerland,Zug,Baar,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Chemicals,"Paints, coatings, additives & adhesives",Construction,"Sales, Marketing & Support",17,Yes,2.8,Yes,New,Opened,"The new local head office in Dhaka, enables Sika to benefit from the potential available in the local construction market, which has a total volume equivalent to SFr15bn and an annual growth rate of 12%.",,,https://www.sika.com/en/group/Media/Mediareleases/2017/sika_opens_100th_national_subisidiary_in_bangladesh.html,True,False,False,True,False,False,chemicals_paints_coatings_additives_and_adhesives_sales_marketing_and_support,False,False,2017
386,387,2017-12-01,#292859,UAE Exchange Centre,NMC Group,"UAE-based NMC Group, together with its subsidiaries, provides professional private sector medical services. The group also owns businesses engaged in a range of areas, including trading, hospitality, pharmaceutical manufacturing, pharmacy chains, financial services, education, jewellery, advertising, real estate and information technology. NMC Group was founded in 1975 and is based in Abu Dhabi, UAE.",www.nmc.ae,550.9,,,1975.0,mail.us@uaeexchange.co.in,,Middle East,uae,Abu Dhabi,Not Specified,Abu Dhabi,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,https://www.uaeexchange.com/our-history,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2017
398,399,2017-12-01,#296494,Universal Robots,Teradyne,"Teradyne is a supplier of automation equipment for test and industrial applications. Teradyne Automatic Test Equipment is used to test semiconductors, wireless products, data storage and complex electronic systems, which serve consumer, communications, industrial and government customers. The company was founded in 1960 and is based in Reading, Massachusetts.",www.teradyne.com,3703.0,5900.0,427.6,1960.0,,+4589938989,North America,united_states,Massachusetts,Middlesex County (MA),Reading (MA),Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Industrial equipment,General purpose machinery,Industrial,"Sales, Marketing & Support",15,Yes,3.6,Yes,New,Opened,"""After successfully venturing into the Indian and Sri Lankan markets, we are looking forward to setting up and growing in Bangladesh as the country can provide us with enormous opportunities to develop,"" said Pradeep David, general manager, Universal Robots South Asia.",,,https://www.universal-robots.com/about-universal-robots/news-centre/universal-robots-enters-bangladesh/,False,False,False,True,False,False,industrial_equipment_general_purpose_machinery_sales_marketing_and_support,False,False,2017
411,412,2017-11-01,#289763,Bangladesh Honda,Honda Motor Company,"Honda Motor Company, together with its subsidiaries, engages in the development, manufacture and distribution of motorcycles, automobiles and power products primarily in North America, Europe and Asia. In addition, it sells spare parts and provides after sales services through retail dealers, as well as being involved in retail lending, leasing to customers and other financial services, such as wholesale financing to dealers. The company was established in 1948 and is based in Tokyo, Japan.",www.honda.co.jp,100873.16,204040.0,7517.53,1948.0,info@bdhonda.com,+88 02 985 8361,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,bangladesh,Dhaka,Not Specified,Munshiganj,Abdul Monem Economic Zone,,Non-automotive transport OEM,"Motorcycle, bicycle, & parts",Transport Equipment,Manufacturing,503,Yes,29.0,No,New,Announced,,,,https://www.autocarindia.com/bike-news/bangladesh-honda-to-set-up-new-motorcycle-plant-406479,False,False,False,True,False,False,non_automotive_transport_oem_motorcycle_bicycle_and_parts_manufacturing,False,False,2017
419,420,2017-11-01,#290038,SGS,SGS,"SGS is a multinational business solutions company which provides inspection, verification, testing and certification services. It has a network of more than 94,000 employees and operates 2600 offices and laboratories. SGS's core services can be divided into four categories. Inspection: SGS provides a comprehensive range of inspection and verification services to help to control quantity and quality, and meet all relevant regulatory requirements across different regions and markets. Testing: its global network of testing facilities, enable customers to reduce risks, shorten time to market and test the quality, safety and performance of products against regulatory standards. Certification: allows customers to demonstrate products, processes, systems or services are compliant with either national or international standards and regulations. Verification: ensures that products and services comply with global standards and local regulations. SGS was established in 1878 and is headquartered in Geneva, Switzerland.",www.sgs.com,6418.82,0.0,,1878.0,,+41227399111,Western Europe,switzerland,Switzerland,Geneve,Geneva,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Business services,"Professional, scientific & technical services","Wood, Apparel & Related Products",Research & Development,118,Yes,10.2,Yes,Expansion,Opened,,Global,,http://www.sgs.com/en/news/2017/11/sgs-expands-textile-and-footwear-testing-facilities-in-dhaka-bangladesh,True,False,False,True,False,False,business_services_professional_scientific_and_technical_services_research_and_development,False,False,2017
421,422,2017-11-01,#289919,Wartsila (Waertsilae)(Wartsila),Wartsila (Waertsilae)(Wartsila),"Wartsila is a global engineering company. It is operational through three principal divisions: ship power, which focuses on ship power solutions, including engines, generating sets, reduction gears, propulsion equipment, automation and power distribution systems, as well as sealing solutions for the marine industry; services, which offers solutions that support the customers throughout the lifecycle of their installations, such as engine services, automation services, operation and management, reconditioning services, training services and ship services, and power plants, which offers power plants for the decentralised power generation market, including solutions for baseload power generation, grid stability and peaking, industrial selfgeneration, as well as for the oil and gas industry. The company was founded in 1834 and is headquartered in Helsinki, Finland.",www.wartsila.com,5269.63,17305.0,,1834.0,,+358107090000,Western Europe,finland,Southern Finland (Etela-Suomen laani),Uusimaa (Uusimaa),Helsinki,Asia-Pacific,bangladesh,Dhaka,Not Specified,Gazipur,,,Industrial equipment,Power transmission equipment,Energy,"Logistics, Distribution & Transportation",69,Yes,9.3,Yes,New,Opened,,,,http://www.dhakatribune.com/bangladesh/power-energy/2017/11/08/wartsila-launches-spare-parts-warehouse-gazipur/,False,False,False,True,False,False,industrial_equipment_power_transmission_equipment_logistics_distribution_and_transportation,False,False,2017
451,452,2017-10-01,#292860,UAE Exchange Centre,NMC Group,"UAE-based NMC Group, together with its subsidiaries, provides professional private sector medical services. The group also owns businesses engaged in a range of areas, including trading, hospitality, pharmaceutical manufacturing, pharmacy chains, financial services, education, jewellery, advertising, real estate and information technology. NMC Group was founded in 1975 and is based in Abu Dhabi, UAE.",www.nmc.ae,550.9,,,1975.0,mail.us@uaeexchange.co.in,,Middle East,uae,Abu Dhabi,Not Specified,Abu Dhabi,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Financial services,Retail banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,https://www.uaeexchange.com/our-history,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2017
461,462,2017-09-01,#285279,Indian Oil Corporation (IOC),Indian Oil Corporation (IOC),"Indian Oil Corporation (IOC), together with its subsidiaries, engages in refining, transporting, and marketing petroleum products in India. It is also involved in the exploration and production of crude oil and gas. The company also exports its products serving the consumer, industrial and marine sectors. The company was founded in 1959 and is based in New Delhi, India.",www.iocl.com,67690.0,0.0,,1959.0,,+911126260000,Asia-Pacific,india,Delhi,Not Specified,New Delhi,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,"Coal, oil & gas",Other petroleum & coal products,Energy,"Sales, Marketing & Support",9,Yes,5.8,Yes,New,Announced,,,,,False,False,False,False,True,True,coal_oil_and_gas_other_petroleum_and_coal_products_sales_marketing_and_support,False,True,2017
469,470,2017-09-01,#284961,MetLife,MetLife,"US-based MetLife, through its subsidiaries, provides insurance, annuities, and employee benefit programmes. The company provides variable, universal, term, and whole life products; individual disability income products; personal lines property and casualty insurance, including private passenger automobile, homeowners, and personal excess liability insurance; and variable and fixed annuities for asset accumulation and distribution needs, as well as mutual funds and other securities products. MetLife was founded in 1863 and is based in New York City, New York, United States.",www.metlife.com,71080.0,43000.0,,1863.0,,+12125789500,North America,united_states,New York,New York City County (NY),NYC (NY),Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Financial services,Insurance,Financial Services,Research & Development,28,Yes,17.1,Yes,Expansion,Opened,,,,,False,False,False,True,False,False,financial_services_insurance_research_and_development,False,False,2017
512,513,2017-07-01,#281435,Transsion Holdings (Tecno Telecom),Transsion Holdings (Tecno Telecom),"Transsion Holdings, formerly known as Tecno Telecom, engages in the research and development, production, sale, and service of mobile communication products. The firm was established in July 2006 and is based in Shenzhen, China. The company changed its name in the second half of 2013.",transsion.com/,7410.64,16100.0,,2006.0,hello@transsion.com,+8675533979200,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Communications,Communications equipment,ICT & Electronics,Manufacturing,1140,Yes,76.7,Yes,New,Opened,,,,,True,False,True,False,True,False,communications_communications_equipment_manufacturing,False,False,2017
