#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
26,2018-11-01,#318012,Mara Phones,Mara Group,"Mara Group is a pan-African multi-sector business, operating in both African and international markets. Mara's current investments and operations span technology, financial services, manufacturing, real estate and agriculture. The group is active in 19 African countries and 21 countries worldwide. The firm is headquartered in Dubai, United Arab Emirates.",www.mara.com,,0.0,,1996.0,,+250252502525,Middle East,uae,Dubai,Not Specified,Dubai,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Communications,Communications equipment,ICT & Electronics,Manufacturing,200,No,24.0,No,New,Opened,,East and central Africa,,https://www.morebranches.com/africas-first-smartphone-factory-will-open-in-rwanda-next-month/,False,False,False,False,True,False,communications_communications_equipment_manufacturing,False,False,2018
72,2018-09-01,#341635,planitswiss,planitswiss,"planitswiss is a full-service hospitality solutions provider that specialises in the planning and execution of tailor-made corporate events. The company was founded in 2012 and is headquartered in Lutry, Switzerland.",planitswiss.com/,,,,2012.0,service@planitswiss.com,+41213201330,Western Europe,switzerland,Switzerland,Vaud,Lutry,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Business services,"Advertising, PR, & related",Creative Industries,Business Services,32,Yes,21.6,Yes,New,Opened,,Africa,,https://www.businesstimes.com.sg/hub/swiss-national-day-2019/swiss-quality-singapore-opportunity,True,False,False,True,False,False,business_services_advertising_pr_and_related_business_services,False,False,2018
98,2018-09-01,#353214,VFS Global,Kuoni,"Kuoni is a tourist travel company. Kuoni was founded in 1906 and is currently headquartered in Zurich, Switzerland.",www.kuoni.com,3456.82,0.0,,1906.0,customercare@vfsglobal.com,+97142567077,Western Europe,switzerland,Switzerland,Zurich,Zurich,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Business services,Other support services,Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,,,,https://www.vfsglobal.com/en/PDF/media-releases/2019/Kigali.pdf,True,False,True,True,False,False,business_services_other_support_services_business_services,False,False,2018
109,2018-08-01,#313627,Sheraton Hotels and Resorts,Marriott International,"Marriott International operates, franchises, and licences hotels and corporate housing properties. The company's brandss include Ritz-Carlton and JW Marriott. Marriott International was established in 1927 and is headquartered in Bethesda, Maryland, US.",www.marriott.com,13860.0,0.0,,1927.0,,,North America,united_states,Maryland,Montgomery County (MD),Bethesda (MD),Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Hotels & tourism,Accommodation,Tourism,Construction,202,Yes,100.2,Yes,New,Announced,,,,https://www.cerodosbe.com/es/alojamiento/hoteles/grandes-hoteleras-dirigen-sus-inversiones-a-africa_574694_102.html,False,False,False,True,False,False,hotels_and_tourism_accommodation_construction,False,False,2018
154,2018-07-01,#310321,Andela,Andela,"Andela, a talent accelerator, which produces developers and connects them with employers globally. The company was established in 2014 and is based in New York City, New York, United States.",www.andela.com,,0.0,,2014.0,hello@andela.com,+16467264003,North America,united_states,New York,New York City County (NY),NYC (NY),Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Business services,Employment services,ICT & Electronics,Business Services,32,Yes,21.6,Yes,New,Opened,,Africa,,https://allafrica.com/stories/201807270040.html,False,False,False,True,False,False,business_services_employment_services_business_services,False,False,2018
156,2018-07-01,#311166,Fracht,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,265.04,0.0,,1955.0,fracht@frachtag-bs.ch,+41612879555,Western Europe,switzerland,Switzerland,Basel-Stadt,Basel,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,"Ruedie Reisdorf, chief executive officer, said, ""Rwanda is a landlocked country with people that are hardworking, politically stable. These gave us reason to start our operations in Africa. This is why we have chosen Rwanda as our first place to develop the African continent"".",East Africa,,http://www.frachtag.ch/en/news/news.php?NEWSID=331,True,False,False,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2018
168,2018-06-01,#281937,CrimsonLogic,CrimsonLogic,"CrimsonLogic designs and builds e-government solutions for governments in Asia, the Middle East, Africa and the Americas. It offers services that provide real-time company and business information and deliver search, retrieval, and information transfer functions. The company also provides a legal portal that enables content providers to provide online access to a repository. The company was founded in 1988 and is based in Singapore. CrimsonLogic was formerly known as Singapore Network Services and changed its name in August 2002. In February 2018, PSA International raised its shareholding in CrimsonLogic from 15% to 45%. The remaining 55% was held by Enterprise Singapore, formerly IE Singapore. On 8 August 2018, PSA International Pte Ltd, an existing shareholder of CrimsonLogic acquired majority control through an additional subscription of shares and share purchase from Enterprise Singapore Holdings. With the completion of the transaction, PSA now holds 70% of CrimsonLogic, with Enterprise Singapore Holdings retaining 30% of shares. Enterprise Singapore Holdings is a 100% wholly-owned subsidiary of Enterprise Singapore.",www.crimsonlogic.com,,,,1988.0,sales@crimsonlogic.com,+6568877888,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Software & IT services,Custom computer programming services,ICT & Electronics,Business Services,87,Yes,7.9,Yes,New,Opened,"Eugene Wong, chairman, CrimsonLogic, said: ""Rwanda has an investment-friendly environment for Singapore companies and is also a very clean city. The country welcomes Singapore companies as they trust us to bring both innovation and quality in partnerships towards building their digital economy.""","Africa,  especially for East Africa",,https://webapp-corpsite-static1.azurewebsites.net/Documents/pdf/newsAndEvents/media/CrimsonLogic_Rwanda.pdf,True,False,False,False,True,False,software_and_it_services_custom_computer_programming_services_business_services,False,False,2018
247,2018-04-01,#304099,Societe Centrale de Reassurance,Caisse de Depot et de Gestion Group,"Caisse de Depot et de Gestion Group is a financial institution. As an institutional investor, it receives, preserves, and manages savings resources. The company operates in various business lines, including management of institutional funds and pensions, banking, finance, insurance, and spatial development. The company is based in Rabat, Morocco, and was founded in 1959.",www.cdg.ma,,0.0,,1959.0,scr@scrmaroc.com,+212522460400,Africa,morocco,Rabat-Sale-Kenitra,Not Specified,Rabat,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",83,Yes,10.8,Yes,New,Opened,,East Africa,,http://apanews.net/index.php/news/la-societe-centrale-marocaine-de-reassurance-ouvre-un-bureau-a-kigali,False,False,False,False,True,False,financial_services_insurance_sales_marketing_and_support,False,False,2018
304,2018-02-01,#299805,Heineken,Heineken Holding,"Heineken Holding supervises the management of the Heineken group. The company was established in 1952 and is based in Amsterdam, the Netherlands.",www.heinekenholding.com,24460.0,0.0,,1952.0,,+31205239239,Western Europe,netherlands,West Netherlands,Noord-Holland,Amsterdam,Africa,rwanda,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,255,Yes,47.7,Yes,New,Announced,,,,http://www.farodevigo.es/economia/2018/02/25/firma-mos-globaliza-heineken/1844090.html,True,False,False,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,2018
356,2018-01-01,#296007,Abercrombie & Kent,Abercrombie & Kent,"Abercrombie & Kent provides travel services and experiences for travellers worldwide. Its services include small group travel, private journeys, solo travel, adventure cruising, African safari, canal and river cruising, extreme adventures and family travel. The company was founded in 1962 and is based in Downers Grove, Illinois, US. Abercrombie & Kent is a former subsidiary of Intrawest ULC.",www.abercrombiekent.com,54.8,,,1962.0,,+16307253400,North America,united_states,Illinois,DuPage County (IL),Downers Grove (IL),Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Hotels & tourism,Travel arrangement & reservation services,Tourism,"Sales, Marketing & Support",17,Yes,1.1,Yes,New,Opened,,,,https://www.abercrombiekent.com/news/press-releases/2018/01/30/new-office-in-kigali-rwanda,False,False,False,True,False,False,hotels_and_tourism_travel_arrangement_and_reservation_services_sales_marketing_and_support,False,False,2018
