Unnamed: 0,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
383,384,2017-12-01,#292442,Britam Insurance Uganda,British American Investment,"Britam Holdings Limited, an investments holding company, primarily transacts in long-term insurance comprising life and pension business. It offers a range of services, including life insurance, long-term saving, general insurance, pension plans, group life and pensions, and medical insurance. The company was formally known as British American Investment. It is headquartered in Nairobi, Kenya.",www.britam.com,230.555,,,1920.0,britamug@britam.com,+256417702600,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,uganda,Central,Not Specified,Kampala,,,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",83,Yes,10.8,Yes,Expansion,Opened,,,,https://www.standardmedia.co.ke/m/article/2001262682/britam-unveils-new-offices-in-kampala,False,False,False,False,True,True,financial_services_insurance_sales_marketing_and_support,False,False,2017
438,439,2017-10-01,#286895,Airswift,Airswift,"Airswift is an oil and gas recruitment agency. It provides contract, direct and executive placement services to oil and gas, and chemical industries. The company offers contract hire services, direct hire and executive search services. Airswift provides payroll and taxation, human resources and insurance, and travel and immigration services. The company was founded in January 2016 as the result of a merger between Air Energi Group and Swift Worldwide Resources.",www.airswift.com,,1559.0,,2016.0,,+7133284560,North America,united_states,Texas,Harris County (TX),Houston (TX),Africa,uganda,Central,Not Specified,Kampala,,,Business services,Employment services,Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,,,,,False,False,False,True,False,False,business_services_employment_services_business_services,False,False,2017
442,443,2017-10-01,#288286,UAE Exchange Centre,NMC Group,"UAE-based NMC Group, together with its subsidiaries, provides professional private sector medical services. The group also owns businesses engaged in a range of areas, including trading, hospitality, pharmaceutical manufacturing, pharmacy chains, financial services, education, jewellery, advertising, real estate and information technology. NMC Group was founded in 1975 and is based in Abu Dhabi, UAE.",www.nmc.ae,550.9,,,1975.0,mail.us@uaeexchange.co.in,,Middle East,uae,Abu Dhabi,Not Specified,Abu Dhabi,Africa,uganda,Central,Not Specified,Entebbe,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,https://www.newvision.co.ug/new_vision/news/1464267/uae-exchange-fifth-branch-imperial-mall,False,False,False,False,True,False,financial_services_retail_banking_business_services,False,False,2017
443,444,2017-10-01,#288390,Deutsche Welle,Deutsche Welle,"Deutsche Welle provides radio and television broadcasting services in Germany and internationally. It produces and broadcasts TV, radio and online content and programmes as well as offering solutions for smartphones and tablets. It also offers access to radio programming as MP3-files for professional radio stations and broadcasters, media development, media training and journalism education programmes. Deutsche Welle was founded in 1953 and is based in Bonn, Germany.",www.dw-world.de,418.95,0.0,,1953.0,info@dw.com,+492284294000,Western Europe,germany,North-Rhine Westphalia,Cologne,Bonn,Africa,uganda,Central,Not Specified,Kampala,,,Communications,Radio & TV broadcasting,Creative Industries,"Sales, Marketing & Support",37,Yes,4.7,Yes,New,Opened,,,,http://www.dw.com/en/dw-akademie-opens-office-in-uganda/a-40984930,False,False,False,True,False,False,communications_radio_and_tv_broadcasting_sales_marketing_and_support,False,False,2017
518,519,2017-07-01,#382363,MFS Africa,MFS Africa,"MFS Africa is a fintech company that provides value-added services for mobile wallets. It works in partnership with mobile network operators and financial institutions to bring simple and relevant financial services to un- and under-banked customers. The company was founded in 2010 and is based in Johannesburg, South Africa.",mfsafrica.com,,0.0,,2010.0,,,Africa,south_africa,Gauteng,Not Specified,Johannesburg,Africa,uganda,Central,Not Specified,Kampala,,,Software & IT services,"Software publishers, except video games",Financial Services,"Sales, Marketing & Support",19,Yes,5.2,Yes,New,Opened,,,,https://mfsafrica.com/contact,False,False,False,False,True,False,software_and_it_services_software_publishers_except_video_games_sales_marketing_and_support,False,False,2017
546,547,2017-05-01,#277880,Meta (Facebook),Meta (Facebook),"Meta provides social networking and communications products. Its social media platforms include Facebook, Instagram, Messenger, and WhatsApp. The firm also offers Oculus virtual reality hardware and operates data centres. The company was established in 2004 and is headquartered in Menlo Park, California, US. On 28 October 2021, the company announced the rebranding of its corporate name from Facebook to Meta.",www.about.fb.com,117930.0,0.0,24655.0,2004.0,,+16505434800,North America,united_states,California,San Mateo County (CA),Menlo Park (CA),Africa,uganda,Not Specified,Not Specified,Not Specified,,,Software & IT services,Internet publishing & broadcasting & web search,ICT & Electronics,ICT & Internet Infrastructure,42,Yes,170.0,No,New,Announced,,,,,False,False,False,True,False,False,software_and_it_services_internet_publishing_and_broadcasting_and_web_search_ict_and_internet_infrastructure,False,False,2017
600,601,2017-03-01,#274513,Toyota,Toyota Motor,"Toyota Motor engages in the design, manufacture, assembly, and sale of passenger cars, minivans, commercial vehicles, and related parts and accessories. It operates through automotive, financial services, and all other segments. The company offers conventional engine vehicles, including subcompact and compact cars under the Corolla, Yaris, micropremium iQ, Passo, Ractis, Vitz, Corolla Axio/Fielder, Porte, Spade, Auris, and Etios brand names. Toyota Motor was founded in 1933 and is headquartered in Toyota City, Japan.",www.toyota.co.jp,216289.06,0.0,1010.0,1933.0,,+81566236611,Asia-Pacific,japan,Chubu,Aichi,Toyota,Africa,uganda,Central,Not Specified,Mukono,,,Automotive OEM,Automobiles,Retail Trade,Retail,23,Yes,12.9,Yes,New,Opened,,,,,False,False,False,True,False,False,automotive_oem_automobiles_retail,False,False,2017
613,614,2017-02-01,#272305,Bravo Pharma,Bravo Pharma,"Bravo Pharma is a privately held pharmaceutical company. As an integrated health care solutions provider it caters to more than 45 therapeutic areas that include cardiovascular, gastrointestinal, analgesics, haematinics, anti-infectives and antibiotics, respiratory agents, antidiabetics and immunologicals. The company is based in Gurgaon, India.",www.bravopharma.co.in,,,,,info@bravopharma.co.in,+9101244418688,Asia-Pacific,india,Haryana,Not Specified,Gurugram (Gurgaon),Africa,uganda,Not Specified,Not Specified,Not Specified,,,Pharmaceuticals,Pharmaceutical preparations,Life sciences,Manufacturing,227,Yes,32.0,Yes,New,Announced,,,,,False,False,False,False,True,False,pharmaceuticals_pharmaceutical_preparations_manufacturing,False,False,2017
647,648,2017-01-01,#270505,Zanchick,Zanchick,"Zanchick operates as a distributor of premium Halal poultry, beef and other food products. The company was established in 2012 is based in Zanzibar City, Tanzania.",www.zanchick.com,,,,2012.0,,+255774648850,Africa,tanzania,Mjini Magharibi,Not Specified,Zanzibar,Africa,uganda,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Animal slaughtering & processing,Agribusiness,Manufacturing,255,Yes,24.4,Yes,New,Announced,,East and central Africa,,,False,False,False,False,True,True,food_and_beverages_animal_slaughtering_and_processing_manufacturing,False,False,2017
665,666,2017-01-01,#346070,Wangkang Group,Wangkang Group,"Wangkang Group operates ceramic plants in Ghana, Nigeria, Tanzania and Uganda. The company is based in Foshan, China.",wangkanggroup.com/en-us/about.html,,,,,,+862161475791,Asia-Pacific,china,Shanghai Municipality,Not Specified,Shanghai,Africa,uganda,Central,Not Specified,Kampala,,,Ceramics & glass,Clay product & refractory,Industrial,Manufacturing,2000,No,30.0,No,New,Opened,,,,http://www.wangkanggroup.com/en-us/category_373.html,False,False,False,False,True,False,ceramics_and_glass_clay_product_and_refractory_manufacturing,False,False,2017
