#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
15,2018-12-01,#321144,Chongqing Sansheng Industrial,Chongqing Sansheng Industrial,"Chongqing Sansheng Industrial engages in the research and development, production, and sale of building materials and chemicals in China. The company was formerly known as Chongqing Sansheng Special Building Materials and changed its name to in October 2016. It was founded in 2002 and is based in Chongqing, China.",www.cqsstc.com,275.75,3039.0,,2002.0,sansheng_1997@163.com,+862368234428,Asia-Pacific,china,Chongqing Municipality,Not Specified,Chongqing,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Building materials,Cement & concrete products,Construction,Manufacturing,307,Yes,134.0,No,Expansion,Announced,,,,Inside International Industrials (IIICorp),False,False,False,False,True,False,building_materials_cement_and_concrete_products_manufacturing,False,False,2018
30,2018-11-01,#318032,KEFI Minerals,KEFI Minerals,"KEFI Minerals engages in the discovery, exploration and exploitation of mineral deposits primarily within Saudi Arabia. It explores for gold and copper mineralisation, as well as precious and base metals. KEFI Minerals was founded in 2006 and is based in Nicosia, Cyprus.",www.kefi-minerals.com,,,,2006.0,,+35722256161,Emerging Europe,cyprus,Cyprus,Cyprus,Nicosia,Africa,ethiopia,Oromia,Not Specified,West Wellega,,,Metals,Gold ore & silver ore mining,Physical Sciences,Extraction,757,Yes,318.3,Yes,Expansion,Announced,,,,http://www.lse.co.uk/AllNews.asp?code=8rcacyf5&headline=KEFI_Minerals_Says_Preparatory_Field_Activities_Resume_In_Ethiopia,True,False,True,True,False,False,metals_gold_ore_and_silver_ore_mining_extraction,True,False,2018
31,2018-11-01,#320179,Trident Group,Trident Group,"Trident Group is a holding company with a diverse portfolio of businesses, operating primarily in the manufacture and processing of textiles and paper. The company was founded in 1990 and is based in Ludhiana, India.",www.tridentindia.com,366.94,0.0,,1990.0,corp@tridentindia.com,+911615039999,Asia-Pacific,india,Punjab,Not Specified,Ludhiana,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,"Paper, printing & packaging","Pulp, paper, & paperboard",Industrial,Manufacturing,859,Yes,150.0,No,New,Announced,,,,https://allafrica.com/stories/201811160862.html,False,False,False,False,True,False,paper_printing_and_packaging_pulp_paper_and_paperboard_manufacturing,False,False,2018
41,2018-11-01,#318674,Milly Glass Works,Milly Glass Works,"Milly Glass Works is a glass manufacturer based in Mombasa, Kenya. It was incorporated 2000 and its products are mainly sold in Kenya, Uganda, Tanzania and Ethiopia.",millyglass.com,,500.0,,2000.0,gm@millyglass.com,+254734546942,Africa,kenya,Coast,Not Specified,Mombasa,Africa,ethiopia,Amhara,Not Specified,Debre Berhan,,Kenya,Ceramics & glass,Glass & glass products,Consumer Goods,Manufacturing,1049,Yes,57.8,Yes,New,Announced,,,,https://www.standardmedia.co.ke/business/article/2001302673/milly-glass-works-identifies-new-location-in-ethiopia-as-it-firms-up-relocating,False,False,False,False,True,True,ceramics_and_glass_glass_and_glass_products_manufacturing,False,False,2018
45,2018-11-01,#319217,Eagle Hills,Eagle Hills,"Eagle Hills operates as a specialised construction and development firm. The company provides a full construction service for both residential and commercial buildings across Africa and the Middle East. Eagle Hills is headquartered in Abu Dhabi, UAE and was founded in 2014.",www.eaglehills.com,,0.0,,2014.0,info@eaglehills.com,+97124958888,Middle East,uae,Abu Dhabi,Not Specified,Abu Dhabi,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Real estate,Other (Real estate),Construction,Construction,656,Yes,640.9,Yes,New,Announced,,,,https://www.lagare.com/newsroom/eagle-hills-abu-dhabi-expands-to-ethiopia-with-the-launch-of-la-gare/,False,False,False,False,True,False,real_estate_other_real_estate_construction,False,False,2018
54,2018-10-01,#316061,Antex Group,Antex Group,"Antex Group is the parent company for three subsidiaries acting within various sectors, Antex Fashion Group, DEYU Trading Group and TOWOWGE Culture Media Group.  It operates in a variety of industries, such as fashion, agriculture, forestry, science and technology, film and TV and tourism. Headquartered in Zhejiang, China, the group was founded in 2003.",en.antexgroup.cn/,,,,2003.0,1633320732@qq.com,+864006386778,Asia-Pacific,china,Zhejiang,Not Specified,Zhejiang,Africa,ethiopia,Oromia,Not Specified,Adama,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,5000,Yes,138.9,Yes,New,Announced,,"Europe, US and Australia",,https://addisfortune.net/articles/antex-weaves-its-way-into-adama-industrial-park/,False,False,False,False,True,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2018
55,2018-10-01,#318039,China Communications Construction Company,China Communications Construction Company,"China Communications Construction Company, together with its subsidiaries, engages in the infrastructure construction and design, dredging, and heavy machinery manufacturing activities in China and internationally. The company undertakes various infrastructure construction projects, including ports, roads, bridges, railways, tunnels, and other projects. It is also involved in the infrastructure design of ports, roads, and bridges. The company was founded in 2006 and is based in Beijing, China.",www.ccccltd.cn,70692.85,,,2006.0,ir@ccccltd.cn,+861082016562,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Real estate,Industrial building construction,Transportation & Warehousing,Headquarters,84,Yes,16.0,Yes,New,Opened,,East Africa,,http://www.investethiopia.gov.et/index.php/information-center/news-and-events/725-cccc-to-establish-regional-office-in-addis.html,False,False,False,False,True,False,real_estate_industrial_building_construction_headquarters,False,False,2018
58,2018-10-01,#316413,Calzedonia,Calzedonia,"Calzedonia is a fashion brand. Its products include swimwear and beachwear, tights and stockings, and socks. The company was established in 1986 and is based in Dossobuono, Italy.",www.calzedonia.com,2196.71,0.0,,1986.0,info@calzedonia.it,+39458604335,Western Europe,italy,Veneto,Verona,Dossobuono,Africa,ethiopia,Tigray,Not Specified,Mek'ele,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,1100,No,15.0,No,New,Opened,,Europe,,http://semonegna.com/itaca-textile-plc-calzedonia-group-inaugurated-mekelle/,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2018
66,2018-10-01,#316515,Hyatt Hotels,Hyatt Hotels,"Hyatt Hotels, a hospitality company, manages, franchises, owns, and develops Hyatt-branded hotels, resorts, and residential and vacation ownership properties worldwide. The company operates its hotels and resorts under the Park Hyatt, Andaz, Hyatt, Grand Hyatt, Hyatt Regency, Hyatt Place, and Hyatt House brands. Hyatt Hotels is headquartered in Chicago, Illinois, US, and was founded in 1957.",www.hyatt.com,3028.0,44000.0,,1957.0,,+13127501234,North America,united_states,Illinois,Cook County (IL),Chicago (IL),Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Hotels & tourism,Accommodation,Tourism,Construction,202,Yes,100.2,Yes,New,Opened,,,,https://tophotel.news/major-global-hospitality-companies-continue-to-expand-footprints-in-africa/,False,False,False,True,False,False,hotels_and_tourism_accommodation_construction,False,False,2018
67,2018-10-01,#317613,EKOS Steel Mill,CH International Corporation,"CH International Corporation operates as an electronic component manufacturer with a focus on microwave components. The company was established in 2003 and is headquartered in Seoul, South Korea.",www.chcorporation.net,,,,2003.0,,,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Africa,ethiopia,Oromia,Not Specified,Dukem,,,Metals,Iron & steel mills & ferroalloy,Industrial,Manufacturing,60,No,8.2,Yes,Expansion,Announced,,,,https://addisfortune.net/articles/nation-greets-its-12th-steel-mill/,False,False,False,False,True,False,metals_iron_and_steel_mills_and_ferroalloy_manufacturing,False,False,2018
