,parent_company,company_profile,website,source_country,sector,sub_sector,cluster,activity,source_country_questionable,comments
29,KEFI Minerals,"KEFI Minerals engages in the discovery, exploration and exploitation of mineral deposits primarily within Saudi Arabia. It explores for gold and copper mineralisation, as well as precious and base metals. KEFI Minerals was founded in 2006 and is based in Nicosia, Cyprus.",www.kefi-minerals.com,cyprus,Metals,Gold ore & silver ore mining,Physical Sciences,Extraction,TRUE,"Company website confirms Cyprus HQ. Actual headquarters might be UK according to google, Orbis, and S&P Capital. Execs appear to be in various countries that do not include Cyprus. Registered office appears to be in London according to website."
37,Diethelm Keller Holding,"Diethelm Keller Holding, along with its subsidiaries, engages in marketing, brand management, logistics and travel businesses. The company provides sourcing, marketing, sales, distribution and aftersales services. It also offers marketing, brand building and distribution services for medium-sized enterprises. Diethelm Keller Holding was founded in 2000 as a result of a merger between Diethelm and Edward Keller. The company is headquartered in Zurich, Switzerland.",www.diethelmkeller.com,switzerland,Transportation & Warehousing,Freight/Distribution Services,Industrial,"Logistics, Distribution & Transportation",,Orbis confirms CH HQ. Company website confirms CH HQ.
47,Webcor Group,"Webcor Group is an agro-industrial food production and distribution company, specialising in sourcing, manufacturing, distributing and trading of soft commodities and fast-moving consumer goods (FMCG). The company was founded in 1978 and is based in Geneva, Switzerland.",www.webcorgroup.com,switzerland,Food & Beverages,Grains & oilseed,Agribusiness,Manufacturing,,Company website confirms CH HQ and office location. Majority of staff appear to be in Angola and company was founded in Angola.
49,Jardine Matheson Holdings,"Jardine Matheson Holdings, through its subsidiaries, engages in engineering and construction, transport services, insurance broking, property investment and development, retailing, restaurants, luxury hotels, motor vehicles and related activities, financial services, heavy equipment, mining, and agribusinesses primarily in Greater China and south-east Asia. The company is based in Central, Hong Kong, and was founded in 1832.",www.jardines.com,hong_kong,Industrial equipment,General purpose machinery,Industrial,Education & Training,,Orbis lists as incorporated in Bermuda but is historically a Hong Kong company. Company website confirms HK HQ.
55,Radisson Hospitality (Rezidor Hotel Group),"Radisson Hospitality, AB, is a hotel group. Originally founded in 1960 by Scandinavian conglomerate SAS Group as a hotel, it became a listed company in 2006. The global headquarters of Rezidor also relocated to Brussels, Belgium circa 1989. In 2005, Carlson also acquired 25% shares of Rezidor Hotel Group from SAS Group. Since 2007, SAS Group ceased to be a shareholder of the company. In 2010, Carlson Companies acquired the controlling influence (more than 50.1% shares) on the listed company. In 2012, Rezidor Hotel Group started to integrate with direct parent company, Carlson Hotels, which both companies would collectivity known as Carlson Rezidor Hotel Group. Carlson Hotels, Inc. and subsidiaries, including Rezidor Hotel Group, were sold to Chinese conglomerate HNA Group in 2016. However, in 2018, the CarlsonRezidor group was re-sold to a consortium led by Jin Jiang International Holdings. In 2018, Rezidor Hotel Group AB was renamed to Radisson Hospitality AB. The direct parent company, Carlson Hotels, Inc., had become Radisson Hospitality, Inc., the whole hotel group also had a new trading name Radisson Hotel Group. Radisson Hotel Group operates as a subsidiary of China-based Shanghai Jin Jiang International Hotels.",www.radissonhotelgroup.com/,belgium,Hotels & tourism,Accommodation,Tourism,Construction,,Compay website confirms Brussels HQ.
64,LafargeHolcim,"Holcim Group, formerly known as LafargeHolcim, is a building materials firm. The company was formed by the merger of Holcim and Lafarge in July 2015. It is headquartered in Jona, Switzerland.",www.holcim.com/,switzerland,Building materials,Cement & concrete products,Construction,Manufacturing,,"Company website confirms Holcim is located in Zug, CH."
69,Tuttnauer,"The Netherlands-based Tuttnauer manufactures autoclaves, plasma sterilizers and washer-disinfectors. The company was founded in 1925 and is based in Breda, the Netherlands.",tuttnauer.com,netherlands,Medical devices,Medical equipment & supplies,Life sciences,"Sales, Marketing & Support",TRUE,Majority of staff appear to be in Isreal (LinkedIn). Orbis lists owner as Yuval Cohen of Israel.
70,Kuoni,"Kuoni is a tourist travel company. Kuoni was founded in 1906 and is currently headquartered in Zurich, Switzerland.",www.kuoni.com,switzerland,Business services,Other support services,Professional Services,Business Services,TRUE,"Multiple companies listed on Orbis. Operating companies listed in UK an, France, Japan, and US. Global owner listed as HBG Ltd. In Jersey. Company website link is dead."
71,planitswiss,"planitswiss is a full-service hospitality solutions provider that specialises in the planning and execution of tailor-made corporate events. The company was founded in 2012 and is headquartered in Lutry, Switzerland.",planitswiss.com/,switzerland,Business services,"Advertising, PR, & related",Creative Industries,Business Services,,No info on S&P capital. Orbis lists HQ as CH. Company website confirms CH HQ.
76,Fugro,"Fugro collects, processes, and interprets geological data. The company collects data at sea, on land, and from the air of land areas and the sea bed. The data is used in building offshore oil platforms, tunnels, roads, pipelines, factories, and communications cables, and to explore oil, gas, and minerals. The company was founded in 1962 and is headquartered in Leidschendam, the Netherlands.",www.fugro.com,netherlands,Business services,"Architectural, engineering, & related services",Industrial,Business Services,,Orbis confirms NL HQ. Too many companies on S&P. Company website lists primarily Dutch exec team.
