#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
372,2017-12-01,#293286,Oiltanking,Marquard & Bahls,"Marquard & Bahls, through its subsidiaries, wholesales, retails, and imports petroleum products in Europe and internationally. The company operates automatic service stations for commercial trucking fleets, such as heating oil, diesel, lubricants, bitumen, and pool stations, as well as service stations in Germany, Austria, Switzerland, and Moldova. The company was founded in 1947 and is based in Hamburg, Germany.",www.mbholding.de,15900.74,7561.0,,1947.0,,+4940370040,Western Europe,germany,Hamburg,Hamburg,Hamburg,Africa,mozambique,Maputo,Not Specified,Matola,,,Transportation & Warehousing,Petroleum bulk stations & terminals,Energy,"Logistics, Distribution & Transportation",67,Yes,96.9,Yes,New,Announced,,Africa with key focus on east Africa,,http://www.oiltanking.com/Oiltanking/en/news/OTMOZ_New-Terminal_18.12.2017.php,True,False,False,transportation_and_warehousing_petroleum_bulk_stations_and_terminals_logistics_distribution_and_transportation,False,False,2017
373,2017-12-01,#293287,Oiltanking,Marquard & Bahls,"Marquard & Bahls, through its subsidiaries, wholesales, retails, and imports petroleum products in Europe and internationally. The company operates automatic service stations for commercial trucking fleets, such as heating oil, diesel, lubricants, bitumen, and pool stations, as well as service stations in Germany, Austria, Switzerland, and Moldova. The company was founded in 1947 and is based in Hamburg, Germany.",www.mbholding.de,15900.74,7561.0,,1947.0,,+4940370040,Western Europe,germany,Hamburg,Hamburg,Hamburg,Africa,mozambique,Sofala,Not Specified,Beira,,,Transportation & Warehousing,Petroleum bulk stations & terminals,Energy,"Logistics, Distribution & Transportation",67,Yes,96.9,Yes,New,Announced,,"Central Mozambique, Zimbabwe, Malawi, Zambia and the Democratic Republic of Congo.",,http://www.oiltanking.com/Oiltanking/en/news/OTMOZ_New-Terminal_18.12.2017.php,True,False,False,transportation_and_warehousing_petroleum_bulk_stations_and_terminals_logistics_distribution_and_transportation,False,False,2017
388,2017-12-01,#292932,Standard Bank Group,Standard Bank Group,"Standard Bank Group, together with its subsidiaries, offers various banking and financial products to customers in South Africa and internationally. It operates in three segments: personal and business banking; corporate and investment banking; and wealth-liberty. The company was founded in 1862 and is based in Johannesburg, South Africa.",www.standardbank.co.za,6530.0,49220.0,,1862.0,information@standardbank.co.za,+27116369111,Africa,south_africa,Gauteng,Not Specified,Johannesburg,Africa,mozambique,Maputo,Not Specified,Maputo,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,http://www.engineeringnews.co.za/article/novare-opens-two-new-malls-in-sub-saharan-africa-2017-12-14,False,True,True,financial_services_retail_banking_business_services,False,False,2017
389,2017-12-01,#292953,Novare Equity Partners,Novare Holdings,"Novare Holdings is a privately owned asset management holding company. The firm provides investment management and investment consulting services through its wholly-owned subsidiaries. Novare Holdings was founded in 2000 and is based in Cape Town, South Africa with additional offices in Johannesburg, South Africa; Gaborone, Botswana; Port Louis, Mauritius; and Lagos, Nigeria.",www.novare.com,,,,2000.0,,+27219147730,Africa,south_africa,Western Cape,Not Specified,Cape Town,Africa,mozambique,Maputo,Not Specified,Maputo,,,Real estate,Commercial & institutional building construction,Construction,Construction,203,Yes,47.0,No,New,Opened,,,,http://www.engineeringnews.co.za/print-version/novare-opens-two-new-malls-in-sub-saharan-africa-2017-12-14,False,True,True,real_estate_commercial_and_institutional_building_construction_construction,False,False,2017
391,2017-12-01,#293280,Oiltanking,Marquard & Bahls,"Marquard & Bahls, through its subsidiaries, wholesales, retails, and imports petroleum products in Europe and internationally. The company operates automatic service stations for commercial trucking fleets, such as heating oil, diesel, lubricants, bitumen, and pool stations, as well as service stations in Germany, Austria, Switzerland, and Moldova. The company was founded in 1947 and is based in Hamburg, Germany.",www.mbholding.de,15900.74,7561.0,,1947.0,,+4940370040,Western Europe,germany,Hamburg,Hamburg,Hamburg,Africa,mozambique,Maputo,Not Specified,Matola,,,Transportation & Warehousing,Petroleum bulk stations & terminals,Energy,"Logistics, Distribution & Transportation",67,Yes,96.9,Yes,New,Opened,,"Southern Mozambique and neighbouring countries including Swaziland, Zimbabwe, Botswana, and the northern provinces of South Africa.",,http://www.oiltanking.com/Oiltanking/en/news/OTMOZ_New-Terminal_18.12.2017.php,True,False,False,transportation_and_warehousing_petroleum_bulk_stations_and_terminals_logistics_distribution_and_transportation,False,False,2017
393,2017-12-01,#293564,Godrej Consumer Products,Godrej & Boyce Manufacturing,"Godrej & Boyce is engaged in real estate, consumer goods, industrial engineering, appliances, furniture, security, and agricultural care businesses. The company offers products and services in these industries. It serves its customers in India and internationally. Godrej & Boyce was founded in 1897 and is based in Mumbai, India.",www.godrej.com,1302.0107,,,1897.0,,+9102225188010,Asia-Pacific,india,Maharashtra,Not Specified,Mumbai,Africa,mozambique,Maputo,Not Specified,Maputo,Beluluane Industrial Park,,Consumer products,"Cosmetics, perfume, personal care & household products",Consumer Goods,Manufacturing,1700,No,11.0,No,New,Opened,,,,http://clubofmozambique.com/news/factory-exporting-hair-products-opens-in-beluluane/,False,True,False,consumer_products_cosmetics_perfume_personal_care_and_household_products_manufacturing,False,False,2017
397,2017-12-01,#294794,Millennium BIM,Banco Comercial Portugues (Millennium BCP),"Banco Comercial Portugues (Millennium BCP) together with its subsidiaries, provides various banking and financial products and services. The company offers a range of financial products and services, including current accounts, payment systems, savings and investment products, and private banking services; and asset management and investment banking services, such as mortgage loans, consumer credit, commercial banking, leasing, factoring and insurance, and others, as well as personal, mortgage, and automobile loans. It was founded in 1985 and is headquartered in Porto, Portugal.",www.millenniumbcp.pt,4002.858,,,1985.0,cac@millenniumbim.co.mz,+25821350035,Western Europe,portugal,Portugal,Porto,Porto,Africa,mozambique,Zambezia,Not Specified,Namacurra,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,http://clubofmozambique.com/news/millenium-bim-expands-banking-services-in-zambezia/,True,False,False,financial_services_retail_banking_business_services,False,True,2017
398,2017-12-01,#294804,Millennium BIM,Banco Comercial Portugues (Millennium BCP),"Banco Comercial Portugues (Millennium BCP) together with its subsidiaries, provides various banking and financial products and services. The company offers a range of financial products and services, including current accounts, payment systems, savings and investment products, and private banking services; and asset management and investment banking services, such as mortgage loans, consumer credit, commercial banking, leasing, factoring and insurance, and others, as well as personal, mortgage, and automobile loans. It was founded in 1985 and is headquartered in Porto, Portugal.",www.millenniumbcp.pt,4002.858,,,1985.0,cac@millenniumbim.co.mz,+25821350035,Western Europe,portugal,Portugal,Porto,Porto,Africa,mozambique,Maputo,Not Specified,Maputo,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,http://inst.millenniumbim.co.mz/pt/Imprensa/Documents/ComunicadoMbim-Balc%C3%A3odoInova%C3%A7%C3%A3o_.pdf,True,False,False,financial_services_retail_banking_business_services,False,True,2017
401,2017-12-01,#291501,Heineken,Heineken Holding,"Heineken Holding supervises the management of the Heineken group. The company was established in 1952 and is based in Amsterdam, the Netherlands.",www.heinekenholding.com,24460.0,0.0,,1952.0,,+31205239239,Western Europe,netherlands,West Netherlands,Noord-Holland,Amsterdam,Africa,mozambique,Maputo,Not Specified,Maputo,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,200,No,100.0,No,New,Opened,,,,https://www.foodbev.com/news/heineken-opens-first-brewery-in-mozambique-after-100m-spend/,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,2017
402,2017-11-01,#289900,Yara International,Yara International,"Yara International, a chemical company, engages in the production, distribution, and sale of nitrogen-based mineral fertilisers and industrial products worldwide. The company supplies agricultural and industrial clients. The company produces ammonia, urea, nitrates, NPK fertiliser, and animal nutrition products. Yar also manufactures nitrate blends for use in the electronics industry, in addition to carbon dioxide and dry ice. The company was founded in 1905 and is headquartered in Oslo, Norway.",www.yara.no,16617.0,17800.0,91.0,1905.0,yaranorge@yara.com,+4724157000,Western Europe,norway,Norway,Oslo,Oslo,Africa,mozambique,Not Specified,Not Specified,Not Specified,,,Chemicals,"Pesticide, fertilisers & other agricultural chemicals",Agribusiness,Manufacturing,2692,Yes,2000.0,No,New,Announced,,,,https://af.reuters.com/article/investingNews/idAFKBN1D20O3-OZABS,True,False,False,chemicals_pesticide_fertilisers_and_other_agricultural_chemicals_manufacturing,False,False,2017
