#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
6,2018-12-01,#321015,WorldVentures,WorldVentures,"Worldventures Marketing, LLC provides leisure travel services. It offers DreamTrips Membership, which provides a built-in community of fellow vacationers and vacation planning; DreamTrips Life Membership; and Luxury DreamTrips Membership, which provides access to a calendar of destinations worldwide. The company provides a wide range of international destinations. Founded in 2005, the company is based in Plano, Texas, United States.",www.worldventures.com,26.19,,,2005.0,,+19728055100,North America,united_states,Texas,Collin County (TX),Plano (TX),Africa,zambia,Not Specified,Not Specified,Not Specified,,,Hotels & tourism,Travel arrangement & reservation services,Tourism,"Sales, Marketing & Support",17,Yes,1.1,Yes,New,Opened,,,,https://www.directsellingnews.com/worldventures-expands-into-zambia-namibia/,True,False,False,hotels_and_tourism_travel_arrangement_and_reservation_services_sales_marketing_and_support,False,False,2018
52,2018-10-01,#317437,British America Tobacco Zambia,British American Tobacco (BAT),"British American Tobacco PLC engages in the production and sale of tobacco products. It provides cigarettes and cigars; snus, a low-toxicant smokeless tobacco product; and e-cigarettes and other products, such as vapour and tobacco heating products, as well as nicotine inhalers. The company offers its products under the Dunhill, Kent, Lucky Strike, Pall Mall, Rothmans, Vogue, Viceroy, Kool, Peter Stuyvesant, Craven A, Benson & Hedges, John Player Gold Leaf, State Express 555, and Shuang Xi brands. It also operates a retail store under Vype brand name in Milan. The company sells its products in the Americas, eastern and western Europe, the Middle East, Africa, and the Asia-Pacific. British American Tobacco was founded in 1902 and is headquartered in London, UK.",www.bat.com,25780.0,55000.0,,1902.0,,,Western Europe,united_kingdom,South East (UK),Greater London,London,Africa,zambia,Lusaka Province,Not Specified,Lusaka,Lusaka South Multi-Facility Economic Zone,,Food & Beverages,Tobacco,Agribusiness,Manufacturing,72,No,25.0,No,New,Opened,,,,https://www.lusakatimes.com/2018/10/13/british-america-tobacco-constructs-a-25million-cigarette-plant/,True,False,False,food_and_beverages_tobacco_manufacturing,False,True,2018
62,2018-10-01,#316071,African Medallion Group (AMG),African Medallion Group (AMG),"African Medallion Group produces exclusive gold products including gold Krugerrand, medallions and gold bullion coins. The firm was founded in 2017 and is based in Johannesburg, South Africa.",www.africanmedalliongroup.com/,,,,2017.0,info@africanmedalliongroup.com,+27110752750,Africa,south_africa,Gauteng,Not Specified,Johannesburg,Africa,zambia,Not Specified,Not Specified,Not Specified,,,Metals,Nonferrous metal production & processing,Physical Sciences,"Sales, Marketing & Support",8,Yes,1.9,Yes,New,Opened,,,,https://www.dailynews.co.zw/articles/2018/10/09/amg-expands-into-africa,False,True,False,metals_nonferrous_metal_production_and_processing_sales_marketing_and_support,False,False,2018
102,2018-08-01,#384659,Apelby Communications,Apelby Communications,"Apelby Communications provides telecommunication services. The company's remit includes international voice traffic services, data and SMS, outsourcing services for retail customers, and fraud and market protection services. Apelby Communications was founded in 2005 and is based in Dusseldorf, Germany.",www.apelby.com,,0.0,,2005.0,,+492119350191,Western Europe,germany,North-Rhine Westphalia,Dusseldorf,Dusseldorf,Africa,zambia,Lusaka Province,Not Specified,Lusaka,,,Communications,Wired telecommunication carriers,ICT & Electronics,"Sales, Marketing & Support",37,Yes,4.7,Yes,New,Opened,,,,https://www.apelby.com/company-milestones/,True,False,False,communications_wired_telecommunication_carriers_sales_marketing_and_support,False,False,2018
111,2018-08-01,#311083,Zillionaire Mobile TV network,Zillionaire Mobile TV network,"Zillionaire Mobile TV network is a TV streaming and broadcasting network which serves customers in Africa. The company is headquartered in Johannesburg, South Africa.",,,,,,,,Africa,south_africa,Gauteng,Not Specified,Johannesburg,Africa,zambia,Not Specified,Not Specified,Not Specified,,,Communications,Radio & TV broadcasting,Creative Industries,"Sales, Marketing & Support",200,No,14.569,No,New,Opened,,,,https://www.daily-mail.co.zm/south-african-firm-to-invest-k145-million/,False,True,False,communications_radio_and_tv_broadcasting_sales_marketing_and_support,False,False,2018
117,2018-08-01,#312428,Multiconsult,Multiconsult,"Multiconsult provides engineering and consulting services to public and private clients. It offers impact assessments, zoning plans, project development, life cycle planning, design, management, and condition surveys. The company also provides oil and gas sector services, such as marine and offshore structures, as well as onshore processing facilities. The company was founded in 1974 and is based in Oslo, Norway.",www.multiconsult.no,395.07,2851.0,,1974.0,oslo@multiconsult.no,+21585000,Western Europe,norway,Norway,Oslo,Oslo,Africa,zambia,Lusaka Province,Not Specified,Lusaka,,,Business services,"Architectural, engineering, & related services",Professional Services,Business Services,32,Yes,21.6,Yes,New,Opened,,,,https://www.photon.info/en/news/multiconsult-opens-office-zambia-manage-get-fit-program-country,True,False,False,business_services_architectural_engineering_and_related_services_business_services,False,False,2018
148,2018-07-01,#308792,Choppies,Choppies,"Botswana-based Choppies, an investment holding company, owns and operates a chain of supermarkets in sub-Saharan Africa. The company operates value stores, superstores, and hyperstores under the Choppies brand name. Its stores offer products, including fruits and vegetables, bakery, butchery, takeaway, kiosk, bulk buys, frozen foods, cold drinks, dairy and general merchandise. In addition, the company distributes meat. Choppies was founded in 1986 and is based in Gaborone, Botswana.",www.choppies.co.bw,,,,1986.0,info@choppies.co.bw,+2673186657,Africa,botswana,Kgatleng,Not Specified,Gaborone,Africa,zambia,Central Province,Not Specified,Kapiri Mposhi,,,Food & Beverages,Food & beverage Stores,Retail Trade,Retail,132,Yes,13.4,Yes,New,Opened,,,,https://www.lusakatimes.com/2018/07/06/botswanas-choppies-opens-outlet-in-kapiri-mposhi/,False,True,True,food_and_beverages_food_and_beverage_stores_retail,False,False,2018
153,2018-07-01,#310600,Tsogo Sun Holdings,Tsogo Sun Holdings,"Tsogo Sun Holdings, through its subsidiaries, operates as a gaming, hotel and entertainment company. It operates Southern Sun branded hotels as well as approximately 14 casinos in South Africa. The company also owns, leases and manages approximately 94 hotels in Africa, the Middle East and the Seychelles. Tsogo Sun Holdings is based in Fourways, Johannesburg, South Africa.",www.tsogosunholdings.com,,,,1969.0,tsogosunhotels.contactus@tsogosun.com,+27114619741,Africa,south_africa,Gauteng,Not Specified,Johannesburg,Africa,zambia,Copperbelt Province,Not Specified,Kitwe,,,Hotels & tourism,Accommodation,Tourism,Construction,202,Yes,100.2,Yes,New,Announced,,,,http://www.tourismupdate.co.za/article/182382/New-Tsogo-Sun-hotel-to-open-in-Zambia,False,True,False,hotels_and_tourism_accommodation_construction,False,False,2018
159,2018-07-01,#311189,Fracht,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,265.04,0.0,,1955.0,fracht@frachtag-bs.ch,+41612879555,Western Europe,switzerland,Switzerland,Basel-Stadt,Basel,Africa,zambia,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,,,,http://www.frachtag.ch/en/news/news.php?NEWSID=331,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2018
237,2018-04-01,#304640,Chenguang Biotech Group,Chenguang Biotech Group,"Chenguang Biotech Group Co., Ltd. is a China-based company principally engaged in the manufacture and sales of natural pigment extracts, natural spices extracts, essential oil extracts, natural supplement and medicine extracts, fat and protein and others. The Company's products include pigment, spices, supplement and medicine products, cottonseed products and others. The Company distributes its products in domestic and to overseas markets.",www.cn-cg.com/,,,,,sesu@hdchenguang.com,+863108850899,Asia-Pacific,china,Hebei,Not Specified,Handan,Africa,zambia,Lusaka Province,Not Specified,Not Specified,,,Food & Beverages,Crop production,Agribusiness,Manufacturing,115,Yes,26.3,No,New,Announced,,,,https://www.yicaiglobal.com/news/chenguang-biotech-will-invest-usd263-million-zambian-oleoresin-project,False,True,False,food_and_beverages_crop_production_manufacturing,True,False,2018
