#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
4,2018-12-01,#320876,Yusen Logistics,Nippon Yusen Kabushiki Kaisha (NYK Line),"Nippon Yusen Kabushiki Kaisha (NYK Line) provides ocean, land, and air transportation services. Nippon Yusen Kabushiki Kaisha was founded in 1885 and is headquartered in Tokyo, Japan.",www.nykline.com,14528.18,0.0,,1885.0,,+81367038111,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,laos,Vientiane,Not Specified,Vientiane,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",151,Yes,89.9,Yes,New,Opened,,,,https://jen.jiji.com/jc/eng?g=ind&k=2018121701295,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2018
13,2018-12-01,#322004,Mango,Punto FA,"Punto Fa manufactures and sells clothing and accessories. It offers its products through its subsidiary Mango, a chain of stores in Spain and internationally. The company was established in 1984 and is based in Barcelona, Spain.",,2493.77,5132.0,,1984.0,press@mango.com,+34938602222,Western Europe,spain,Catalonia,Barcelona,Barcelona,Asia-Pacific,laos,Vientiane,Not Specified,Vientiane,,,Textiles,Clothing & clothing accessories,Retail Trade,Retail,25,Yes,6.5,Yes,New,Opened,,,,https://www.modaes.es/empresa/mango-extiende-su-huella-en-asia-con-una-primera-tienda-en-laos.html,True,False,False,textiles_clothing_and_clothing_accessories_retail,False,False,2018
35,2018-11-01,#319464,ONYX Hospitality Group,ONYX Hospitality Group,"ONYX Hospitality Group is a leading hotel management company that combines the expertise of a truly global executive team with the hospitality excellence for which Asia is renowned. ONYX offers a wide portfolio of hospitality brands, including the luxury Saffron portfolio, the market-leading Amari brand of hotels and resorts, Shama serviced apartments, and the all-new select service OZO. The company was founded in 2010 and is headquartered in Bangkok, Thailand.",www.onyx-hospitality.com,400.0,,,2010.0,,+6622553767,Asia-Pacific,thailand,Central,Not Specified,Bangkok,Asia-Pacific,laos,Vientiane,Not Specified,Vientiane,,,Hotels & tourism,Accommodation,Tourism,Construction,263,Yes,179.0,Yes,New,Announced,,,,https://press.onyx-hospitality.com/onyx-hospitality-group-announces-its-second-amari-property-in-laos-with-amari-vientiane%E2%80%8F/,False,True,True,hotels_and_tourism_accommodation_construction,False,False,2018
90,2018-09-01,#313408,Wimbledon School of English,Wimbledon School of English,"Wimbledon School of English is an English language school based in London, United Kingdom. The firm offers a wide range of English language courses in various fields such as medicine and business. The firm was established in 1964.",www.wimbledon-school.ac.uk/,,,,1964.0,info@wimbledon-school.ac.uk,+442089471921,Western Europe,united_kingdom,South East (UK),Greater London,London,Asia-Pacific,laos,Vientiane,Not Specified,Vientiane,,,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,30,Yes,15.3,Yes,New,Opened,,,,https://thepienews.com/news/wse-open-first-british-english-language-centre-in-laos/,True,False,False,business_services_schools_colleges_universities_and_professional_schools_education_and_training,False,False,2018
113,2018-08-01,#312957,China Tower Corporation,China Tower Corporation,"China Tower Corporation Limited operates as a telecommunication company. The company provides telecommunication towers construction, towers maintenance, ancillary facilities management, and other services. China Tower provides its services throughout China. The firm was founded in 2014 and is based in Beijing, China.",www.china-tower.com/,,,,2014.0,news@chinatowercom.cn,+8613910628502,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Asia-Pacific,laos,Vientiane,Not Specified,Vientiane,,,Communications,Communications equipment,ICT & Electronics,"Sales, Marketing & Support",21,Yes,8.3,Yes,New,Opened,,,"China Tower Corporation, Crick Laos Market Consulting",https://www.china-tower.com/news/detail?v=180,False,True,True,communications_communications_equipment_sales_marketing_and_support,False,False,2018
116,2018-08-01,#312396,Uniqlo,Fast Retailing,"Fast Retailing is an apparel retailer that operates Uniqlo and other brands. The company was formerly known as Ogori Shoji and changed its name to Fast Retailing in September 1991. Fast Retailing is based in Yamaguchi, Japan, and was founded in 1949.",www.fastretailing.com,17162.92,55590.0,,1949.0,,+81839880333,Asia-Pacific,japan,Chugoku,Yamaguchi,Yamaguchi,Asia-Pacific,laos,Not Specified,Not Specified,Not Specified,,,Textiles,Clothing & clothing accessories,Retail Trade,Retail,25,Yes,6.5,Yes,New,Announced,,,,https://asia.nikkei.com/Business/Companies/Uniqlo-to-double-Southeast-Asia-footprint-by-2022,True,False,False,textiles_clothing_and_clothing_accessories_retail,False,False,2018
134,2018-07-01,#310450,Sun Paper (Shan Dong Sun Paper Industry),Sun Paper (Shan Dong Sun Paper Industry),"Sun Paper (Shan Dong Sun Paper Industry) produces and distributes paper and paperboard. The company's major products include coated paperboard, raw paper, and fine paper used in office environment. The company is based in Yanzhou, China.",www.sunpapergroup.com,350.424351,,,,,+865377925538,Asia-Pacific,china,Shandong,Not Specified,Yanzhou,Asia-Pacific,laos,Savannakhet,Not Specified,Savannakhet,,,"Paper, printing & packaging","Pulp, paper, & paperboard",Consumer Goods,Manufacturing,3000,Yes,637.0,No,New,Announced,,,,https://www.yicaiglobal.com/news/sun-paper-invest-laos-avoid-chinas-curb-waste-paper,False,True,True,paper_printing_and_packaging_pulp_paper_and_paperboard_manufacturing,False,False,2018
162,2018-07-01,#311347,Nippon Express (South Asia & Oceania),Nippon Express,"Nippon Express, through its subsidiaries, provides logistics services. The company was founded in 1872 and is headquartered in Tokyo, Japan.",www.nittsu.co.jp,1961.0,73549.0,,1872.0,,+94117439229,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,laos,Vientiane,Not Specified,Vientiane,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,,,,http://www.nipponexpress.com/news/global/2018/29-Jun-18.html,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2018
163,2018-07-01,#311348,Nippon Express (South Asia & Oceania),Nippon Express,"Nippon Express, through its subsidiaries, provides logistics services. The company was founded in 1872 and is headquartered in Tokyo, Japan.",www.nittsu.co.jp,1961.0,73549.0,,1872.0,,+94117439229,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Asia-Pacific,laos,Savannakhet,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,,,,http://www.nipponexpress.com/news/global/2018/29-Jun-18.html,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,2018
243,2018-04-01,#302057,Rosewood Hotels & Resorts,New World Development,"New World Development, an investment holding company, invests in, develops, and manages properties in Hong Kong, China, and internationally. Its property portfolio comprises residential estates, office buildings, shopping centres, convention centres, hotels, service apartments, and convention centres. The company is also involved in contracting activities; provision of property and facility management, transport, and other services. Further, the company is engaged in general trading, construction and civil engineering, building construction, consumer products retail, estate agency, marketing and promotion, property agency management and consultancy, liquor and tobacco sale, carpark management, piling and ground investigation, land development, bond issuing, and financing activities, as well as in foundation works. The company was founded in 1970 and is based in Central, Hong Kong.",www.nwd.com.hk,7611.0,45000.0,,1970.0,,,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,laos,Luang Prabang,Not Specified,Luang Prabang,,,Hotels & tourism,Accommodation,Tourism,Construction,263,Yes,179.0,Yes,New,Opened,,,,https://www.rosewoodhotels.com/en/media/press/2018/Rosewood-Luang-Prabang-Opens-Today,False,True,False,hotels_and_tourism_accommodation_construction,False,False,2018
