#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
20,2018-12-01,#339384,Smubu,Smubu,"Smubu is a music streaming mobile app that enables users to play and download African music offline. The company was established in 2017 and is headquartered Nairobi, Kenya.",www.smubuafrica.com/,,,,2017.0,hello@smubuafrica.com,,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,uganda,Not Specified,Not Specified,Not Specified,,,Software & IT services,Internet publishing & broadcasting & web search,Creative Industries,"Sales, Marketing & Support",19,Yes,5.2,Yes,New,Opened,,,,http://disrupt-africa.com/2019/07/kenyan-music-startup-smubu-hits-200k-user-mark-plans-expansion/,False,True,True,software_and_it_services_internet_publishing_and_broadcasting_and_web_search_sales_marketing_and_support,False,False,2018
22,2018-12-01,#364903,Chipper Cash,Chipper Cash,"Chipper Cash is a financial technology company whose software offers cross-border instant money transfers in Africa. The company was established in 2017 and is based in San Francisco, California, US.",chippercash.com,,0.0,,2017.0,team@chippercash.com,,North America,united_states,California,San Francisco City & County (CA),San Francisco (CA),Africa,uganda,Central,Not Specified,Kampala,,,Software & IT services,"Software publishers, except video games",Financial Services,"Sales, Marketing & Support",19,Yes,5.2,Yes,New,Opened,,,,https://chippercash.com/,True,False,False,software_and_it_services_software_publishers_except_video_games_sales_marketing_and_support,False,False,2018
49,2018-10-01,#394301,Goodwill Uganda,Wangkang Group,"Wangkang Group operates ceramic plants in Ghana, Nigeria, Tanzania and Uganda. The company is based in Foshan, China.",wangkanggroup.com/en-us/about.html,,,,,hr.uganda@wangkanggroup.com,(+256)702395693,Asia-Pacific,china,Guangdong,Not Specified,Foshan,Africa,uganda,Central,Nakaseke,Kapeeka,,,Ceramics & glass,Clay product & refractory,Industrial,Manufacturing,1049,Yes,57.8,Yes,New,Opened,,,,https://www.ugandainvest.go.ug/goodwilllaunch/,False,True,False,ceramics_and_glass_clay_product_and_refractory_manufacturing,False,False,2018
61,2018-10-01,#316847,Route Mobile Limited (Routesms Solutions Limited),Route Mobile Limited (Routesms Solutions Limited),"Route Mobile Limited is a global cloud communication platform service provider. Route Mobile Limited was formerly known as Routesms Solutions Limited and changed its name to Route Mobile Limited in March 2016. The company was founded in 2004 and is based in Mumbai, India.",www.routemobile.com,129.25,628.0,,2004.0,sales@routemobile.com,+912240337676,Asia-Pacific,india,Maharashtra,Not Specified,Mumbai,Africa,uganda,Not Specified,Not Specified,Not Specified,,,Communications,Other telecommunications,ICT & Electronics,"Sales, Marketing & Support",37,Yes,4.7,Yes,New,Opened,,,,https://telecomreseller.com/2018/10/22/route-mobile-expands-its-global-footprint/,False,True,False,communications_other_telecommunications_sales_marketing_and_support,False,False,2018
64,2018-10-01,#317078,Mayfair Insurance,Mayfair Insurance,"Mayfair Insurance is an insurance company. It was founded in 2005 and is based in Nairobi, Kenya.",mayfair.co.ke,,,,2005.0,info@mayfair.co.ke,+254202999000,Africa,kenya,Nairobi Area,Not Specified,Nairobi,Africa,uganda,Not Specified,Not Specified,Not Specified,,,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",83,Yes,10.8,Yes,New,Announced,,,,https://www.businessdailyafrica.com/news/Insurer-to-open-branch-in-Uganda-as-it-expands-network/539546-4825776-s7irxx/index.html,False,True,True,financial_services_insurance_sales_marketing_and_support,False,False,2018
84,2018-09-01,#314581,Fenix International Inc,Engie (GDF SUEZ) (Gaz de France),"ENGIE is a multinational electric utility firm. The company operates through five segments: GDF SUEZ Energy International; GDF SUEZ Energy Europe; GDF SUEZ Global Gas & LNG; GDF SUEZ Infrastructures; and GDF SUEZ Energy Services. ENGIE was formerly known as GDF SUEZ and rebranded in April 2015. The company was founded in 1880 and is headquartered in Paris, France.",www.engie.com,60610.58,0.0,,1880.0,press@fenixintl.com,+14157549222,Western Europe,france,Ile-de-France,Paris,Paris,Africa,uganda,Not Specified,Not Specified,Not Specified,,United States,Electronic components,All other electrical equipment & components,Environmental Technology,Headquarters,75,Yes,11.0,Yes,New,Announced,"""Officially moving our headquarters to Uganda means even more of our employees will be close to our end customers. Uganda's inspiring 2030 vision focuses around the transformative power of new technologies and business development. The quality of the country's universities, the government's renewed focus on ease of doing business  and the support we have received from the government and President Museveni to date  make Uganda a fantastic, but often underestimated, place to do multinational business.  We know the wealth of talent, knowledge, and skill that can be found within the country. We also know that our Ugandan employees can offer these skills to Fenix teams in other countries."" Lyndsay Handler, chief executive officer, Fenix International","Eastern, Western and Southern Africa, as well as China and the United States",,http://www.biztechafrica.com/article/solar-energy-leader-fenix-international-establishe/13958/,True,False,False,electronic_components_all_other_electrical_equipment_and_components_headquarters,False,False,2018
85,2018-09-01,#314582,Fenix International Inc,Engie (GDF SUEZ) (Gaz de France),"ENGIE is a multinational electric utility firm. The company operates through five segments: GDF SUEZ Energy International; GDF SUEZ Energy Europe; GDF SUEZ Global Gas & LNG; GDF SUEZ Infrastructures; and GDF SUEZ Energy Services. ENGIE was formerly known as GDF SUEZ and rebranded in April 2015. The company was founded in 1880 and is headquartered in Paris, France.",www.engie.com,60610.58,0.0,,1880.0,press@fenixintl.com,+14157549222,Western Europe,france,Ile-de-France,Paris,Paris,Africa,uganda,Not Specified,Not Specified,Not Specified,,United States,Electronic components,All other electrical equipment & components,Environmental Technology,Research & Development,75,Yes,25.0,Yes,New,Announced,"""Officially moving our headquarters to Uganda means even more of our employees will be close to our end customers. Uganda's inspiring 2030 vision focuses around the transformative power of new technologies and business development. The quality of the country's universities, the government's renewed focus on ease of doing business  and the support we have received from the government and President Museveni to date  make Uganda a fantastic, but often underestimated, place to do multinational business.  We know the wealth of talent, knowledge, and skill that can be found within the country. We also know that our Ugandan employees can offer these skills to Fenix teams in other countries."" Lyndsay Handler, chief executive officer, Fenix International",,,http://www.biztechafrica.com/article/solar-energy-leader-fenix-international-establishe/13958/,True,False,False,electronic_components_all_other_electrical_equipment_and_components_research_and_development,False,False,2018
88,2018-09-01,#313715,Renew Strategies,Renew Strategies,"Renew Strategies is an impact investment firm that manages and serves the Impact Angel Network, a global network of investors that seeks to make both social impact and financial returns on their investments in Africa. RENEW's largest office is in Addis Ababa, Ethiopia, where it manages its investment operations. The RENEW team is made up of financial analysts, lawyers and business consultants with extensive experience in Africa. It was founded in 2012 and is based in Addis Ababa, Ethiopia.",renewstrategies.com,,,,2012.0,renew@renewstrategies.com,+17032619021,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,Africa,uganda,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Announced,"Matthew Davis, chief executive officer, said, ""Uganda is a country rich with opportunity.""",,,https://www.prweb.com/releases/renew_to_enter_uganda_market_expands_to_second_country_in_africa/prweb15746241.htm,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,2018
110,2018-08-01,#313634,Protea Hotels,Marriott International,"Marriott International operates, franchises, and licences hotels and corporate housing properties. The company's brandss include Ritz-Carlton and JW Marriott. Marriott International was established in 1927 and is headquartered in Bethesda, Maryland, US.",www.marriott.com,13860.0,0.0,,1927.0,,,North America,united_states,Maryland,Montgomery County (MD),Bethesda (MD),Africa,uganda,Central,Not Specified,Kampala,,,Hotels & tourism,Accommodation,Tourism,Construction,202,Yes,100.2,Yes,New,Announced,,,,https://www.cerodosbe.com/es/alojamiento/hoteles/grandes-hoteleras-dirigen-sus-inversiones-a-africa_574694_102.html,True,False,False,hotels_and_tourism_accommodation_construction,False,False,2018
118,2018-08-01,#312559,Shoprite,Shoprite,"South Africa-based Shoprite operates as a consumer goods retailer. It engages in the retail sale of furniture, appliances, home entertainment products and floor coverings as well as food products. Shoprite was founded in 1979 and is headquartered in the Brackenfell area of Cape Town, South Africa.",www.shoprite.co.za,10404.72,147480.0,,1979.0,,+27 0219804000,Africa,south_africa,Western Cape,Not Specified,Cape Town,Africa,uganda,Central,Not Specified,Kampala,,,Food & Beverages,Food & beverage Stores,Retail Trade,Retail,132,Yes,2.9,Yes,New,Announced,,,,https://allafrica.com/stories/201808270513.html,False,True,False,food_and_beverages_food_and_beverage_stores_retail,False,False,2018
